 Number | Obsoleted |        Reference
RFC0169 |           | Crocker, S., "COMPUTER NETWORKS", RFC 169, DOI 10.17487/RFC0169, May 1971, <https://www.rfc-editor.org/info/rfc169>.
RFC0170 |   RFC0200 | Network Information Center. Stanford Research Institute, "RFC List by Number", RFC 170, DOI 10.17487/RFC0170, June 1971, <https://www.rfc-editor.org/info/rfc170>.
RFC0171 |   RFC0264 | Bhushan, A., Braden, B., Crowther, W., Harslem, E., Heafner, J., McKenize, A., Melvin, J., Sundberg, B., Watson, D., and J. White, "The Data Transfer Protocol", RFC 171, DOI 10.17487/RFC0171, June 1971, <https://www.rfc-editor.org/info/rfc171>.
RFC0172 |   RFC0265 | Bhushan, A., Braden, B., Crowther, W., Harslem, E., Heafner, J., McKenzie, A., Melvin, J., Sundberg, B., Watson, D., and J. White, "The File Transfer Protocol", RFC 172, DOI 10.17487/RFC0172, June 1971, <https://www.rfc-editor.org/info/rfc172>.
RFC0173 |           | Karp, P. and D. McKay, "Network Data Management Committee Meeting Announcement", RFC 173, DOI 10.17487/RFC0173, June 1971, <https://www.rfc-editor.org/info/rfc173>.
RFC0174 |           | Postel, J. and V. Cerf, "UCLA - Computer Science Graphics Overview", RFC 174, DOI 10.17487/RFC0174, June 1971, <https://www.rfc-editor.org/info/rfc174>.
RFC0175 |           | Harslem, E. and J. Heafner, "Comments on "Socket Conventions Reconsidered"", RFC 175, DOI 10.17487/RFC0175, June 1971, <https://www.rfc-editor.org/info/rfc175>.
RFC0176 |           | Bhushan, A., Kanodia, R., Metcalfe, R., and J. Postel, "Comments on "Byte size for connections"", RFC 176, DOI 10.17487/RFC0176, June 1971, <https://www.rfc-editor.org/info/rfc176>.
RFC0177 |           | McConnell, J., "Device independent graphical display description", RFC 177, DOI 10.17487/RFC0177, June 1971, <https://www.rfc-editor.org/info/rfc177>.
RFC0178 |           | Cotton, I., "Network graphic attention handling", RFC 178, DOI 10.17487/RFC0178, June 1971, <https://www.rfc-editor.org/info/rfc178>.
RFC0179 |           | McKenzie, A., "Link Number Assignments", RFC 179, DOI 10.17487/RFC0179, June 1971, <https://www.rfc-editor.org/info/rfc179>.
RFC0180 |           | McKenzie, A., "File system questionnaire", RFC 180, DOI 10.17487/RFC0180, June 1971, <https://www.rfc-editor.org/info/rfc180>.
RFC0181 |           | McConnell, J., "Modifications to RFC 177", RFC 181, DOI 10.17487/RFC0181, July 1971, <https://www.rfc-editor.org/info/rfc181>.
RFC0182 |           | North, J., "Compilation of list of relevant site reports", RFC 182, DOI 10.17487/RFC0182, June 1971, <https://www.rfc-editor.org/info/rfc182>.
RFC0183 |           | Winett, J., "EBCDIC Codes and Their Mapping to ASCII", RFC 183, DOI 10.17487/RFC0183, July 1971, <https://www.rfc-editor.org/info/rfc183>.
RFC0184 |           | Kelley, K., "Proposed graphic display modes", RFC 184, DOI 10.17487/RFC0184, July 1971, <https://www.rfc-editor.org/info/rfc184>.
RFC0185 |           | North, J., "NIC distribution of manuals and handbooks", RFC 185, DOI 10.17487/RFC0185, July 1971, <https://www.rfc-editor.org/info/rfc185>.
RFC0186 |           | Michener, J., "Network graphics loader", RFC 186, DOI 10.17487/RFC0186, July 1971, <https://www.rfc-editor.org/info/rfc186>.
RFC0187 |           | McKay, D. and D. Karp, "Network/440 Protocol Concept", RFC 187, DOI 10.17487/RFC0187, July 1971, <https://www.rfc-editor.org/info/rfc187>.
RFC0188 |           | Karp, P. and D. McKay, "Data management meeting announcement", RFC 188, DOI 10.17487/RFC0188, January 1971, <https://www.rfc-editor.org/info/rfc188>.
RFC0189 |   RFC0599 | Braden, R., "Interim NETRJS specifications", RFC 189, DOI 10.17487/RFC0189, July 1971, <https://www.rfc-editor.org/info/rfc189>.
RFC0190 |           | Deutsch, L., "DEC PDP-10-IMLAC communications system", RFC 190, DOI 10.17487/RFC0190, July 1971, <https://www.rfc-editor.org/info/rfc190>.
RFC0191 |           | Irby, C., "Graphics implementation and conceptualization at Augmentation Research Center", RFC 191, DOI 10.17487/RFC0191, July 1971, <https://www.rfc-editor.org/info/rfc191>.
RFC0192 |           | Watson, R., "Some factors which a Network Graphics Protocol must consider", RFC 192, DOI 10.17487/RFC0192, July 1971, <https://www.rfc-editor.org/info/rfc192>.
RFC0193 |   RFC0198 | Harslem, E. and J. Heafner, "NETWORK CHECKOUT", RFC 193, DOI 10.17487/RFC0193, July 1971, <https://www.rfc-editor.org/info/rfc193>.
RFC0194 |           | Cerf, V., Harslem, E., Heafner, J., Metcalfe, B., and J. White, "The Data Reconfiguration Service -- Compiler/Interpreter Implementation Notes", RFC 194, DOI 10.17487/RFC0194, July 1971, <https://www.rfc-editor.org/info/rfc194>.
RFC0195 |           | Mealy, G., "Data computers-data descriptions and access language", RFC 195, DOI 10.17487/RFC0195, July 1971, <https://www.rfc-editor.org/info/rfc195>.
RFC0196 |   RFC0221 | Watson, R., "Mail Box Protocol", RFC 196, DOI 10.17487/RFC0196, July 1971, <https://www.rfc-editor.org/info/rfc196>.
RFC0197 |           | Shoshani, A. and E. Harslem, "Initial Connection Protocol - Reviewed", RFC 197, DOI 10.17487/RFC0197, July 1971, <https://www.rfc-editor.org/info/rfc197>.
RFC0198 |   RFC0214 | Heafner, J., "Site Certification - Lincoln Labs 360/67", RFC 198, DOI 10.17487/RFC0198, July 1971, <https://www.rfc-editor.org/info/rfc198>.
RFC0199 |           | Williams, T., "Suggestions for a Network Data-Tablet Graphics Protocol", RFC 199, DOI 10.17487/RFC0199, July 1971, <https://www.rfc-editor.org/info/rfc199>.
RFC0200 |   NIC 7724 | North, J., "RFC list by number", RFC 200, DOI 10.17487/RFC0200, August 1971, <https://www.rfc-editor.org/info/rfc200>.
RFC0202 |           | Wolfe, S. and J. Postel, "Possible Deadlock in ICP", RFC 202, DOI 10.17487/RFC0202, July 1971, <https://www.rfc-editor.org/info/rfc202>.
RFC0203 |           | Kalin, R., "Achieving reliable communication", RFC 203, DOI 10.17487/RFC0203, August 1971, <https://www.rfc-editor.org/info/rfc203>.
RFC0204 |           | Postel, J., "Sockets in use", RFC 204, DOI 10.17487/RFC0204, August 1971, <https://www.rfc-editor.org/info/rfc204>.
RFC0205 |           | Braden, R., "NETCRT - a character display protocol", RFC 205, DOI 10.17487/RFC0205, August 1971, <https://www.rfc-editor.org/info/rfc205>.
RFC0206 |           | White, J., "A User TELNET Description of an Initial Implementation", RFC 206, DOI 10.17487/RFC0206, August 1971, <https://www.rfc-editor.org/info/rfc206>.
RFC0207 |   RFC0212 | Vezza, A., "September Network Working Group meeting", RFC 207, DOI 10.17487/RFC0207, August 1971, <https://www.rfc-editor.org/info/rfc207>.
RFC0208 |           | McKenzie, A., "Address tables", RFC 208, DOI 10.17487/RFC0208, August 1971, <https://www.rfc-editor.org/info/rfc208>.
RFC0209 |           | Cosell, B., "Host/IMP interface documentation", RFC 209, DOI 10.17487/RFC0209, August 1971, <https://www.rfc-editor.org/info/rfc209>.
RFC0210 |           | Conrad, W., "Improvement of Flow Control", RFC 210, DOI 10.17487/RFC0210, August 1971, <https://www.rfc-editor.org/info/rfc210>.
RFC0211 |   RFC0300 | North, J., "ARPA Network Mailing Lists", RFC 211, DOI 10.17487/RFC0211, August 1971, <https://www.rfc-editor.org/info/rfc211>.
RFC0212 |           | Information Sciences Institute University of Southern California, "NWG meeting on network usage", RFC 212, DOI 10.17487/RFC0212, August 1971, <https://www.rfc-editor.org/info/rfc212>.
RFC0213 |           | Cosell, B., "IMP System change notification", RFC 213, DOI 10.17487/RFC0213, August 1971, <https://www.rfc-editor.org/info/rfc213>.
RFC0214 |           | Harslem, E., "Network checkpoint", RFC 214, DOI 10.17487/RFC0214, August 1971, <https://www.rfc-editor.org/info/rfc214>.
RFC0215 |           | McKenzie, A., "NCP, ICP, and Telnet: The Terminal IMP implementation", RFC 215, DOI 10.17487/RFC0215, August 1971, <https://www.rfc-editor.org/info/rfc215>.
RFC0216 |           | White, J., "Telnet Access to UCSB's On-Line System", RFC 216, DOI 10.17487/RFC0216, September 1971, <https://www.rfc-editor.org/info/rfc216>.
RFC0217 |           | White, J., "Specifications changes for OLS, RJE/RJOR, and SMFS", RFC 217, DOI 10.17487/RFC0217, September 1971, <https://www.rfc-editor.org/info/rfc217>.
RFC0218 |           | Cosell, B., "Changing the IMP status reporting facility", RFC 218, DOI 10.17487/RFC0218, September 1971, <https://www.rfc-editor.org/info/rfc218>.
RFC0219 |           | Winter, R., "User's View of the Datacomputer", RFC 219, DOI 10.17487/RFC0219, September 1971, <https://www.rfc-editor.org/info/rfc219>.
RFC0221 |   RFC0278 | Watson, R., "Mail Box Protocol: Version 2", RFC 221, DOI 10.17487/RFC0221, August 1971, <https://www.rfc-editor.org/info/rfc221>.
RFC0222 |           | Metcalfe, R., "Subject: System programmer's workshop", RFC 222, DOI 10.17487/RFC0222, September 1971, <https://www.rfc-editor.org/info/rfc222>.
RFC0223 |           | Melvin, J. and R. Watson, "Network Information Center schedule for network users", RFC 223, DOI 10.17487/RFC0223, September 1971, <https://www.rfc-editor.org/info/rfc223>.
RFC0224 |           | McKenzie, A., "Comments on Mailbox Protocol", RFC 224, DOI 10.17487/RFC0224, September 1971, <https://www.rfc-editor.org/info/rfc224>.
RFC0225 |           | Harslem, E. and R. Stoughton, "Rand/UCSB network graphics experiment", RFC 225, DOI 10.17487/RFC0225, September 1971, <https://www.rfc-editor.org/info/rfc225>.
RFC0226 |   RFC0247 | Karp, P., "Standardization of host mnemonics", RFC 226, DOI 10.17487/RFC0226, September 1971, <https://www.rfc-editor.org/info/rfc226>.
RFC0227 |           | Heafner, J. and E. Harslem, "Data transfer rates (Rand/UCLA)", RFC 227, DOI 10.17487/RFC0227, September 1971, <https://www.rfc-editor.org/info/rfc227>.
RFC0228 |           | Walden, D., "Clarification", RFC 228, DOI 10.17487/RFC0228, September 1971, <https://www.rfc-editor.org/info/rfc228>.
RFC0229 |   RFC0236 | Postel, J., "Standard host names", RFC 229, DOI 10.17487/RFC0229, September 1971, <https://www.rfc-editor.org/info/rfc229>.
RFC0230 |           | Pyke, T., "Toward reliable operation of minicomputer-based terminals on a TIP", RFC 230, DOI 10.17487/RFC0230, September 1971, <https://www.rfc-editor.org/info/rfc230>.
RFC0231 |           | Heafner, J. and E. Harslem, "Service center standards for remote usage: A user's view", RFC 231, DOI 10.17487/RFC0231, September 1971, <https://www.rfc-editor.org/info/rfc231>.
RFC0232 |           | Vezza, A., "Postponement of network graphics meeting", RFC 232, DOI 10.17487/RFC0232, September 1971, <https://www.rfc-editor.org/info/rfc232>.
RFC0233 |           | Bhushan, A. and R. Metcalfe, "Standardization of host call letters", RFC 233, DOI 10.17487/RFC0233, September 1971, <https://www.rfc-editor.org/info/rfc233>.
RFC0234 |           | Vezza, A., "Network Working Group meeting schedule", RFC 234, DOI 10.17487/RFC0234, October 1971, <https://www.rfc-editor.org/info/rfc234>.
RFC0235 |   RFC0240 | Westheimer, E., "Site status", RFC 235, DOI 10.17487/RFC0235, September 1971, <https://www.rfc-editor.org/info/rfc235>.
RFC0236 |           | Postel, J., "Standard host names", RFC 236, DOI 10.17487/RFC0236, September 1971, <https://www.rfc-editor.org/info/rfc236>.
RFC0237 |   RFC0273 | Watson, R., "NIC view of standard host names", RFC 237, DOI 10.17487/RFC0237, October 1971, <https://www.rfc-editor.org/info/rfc237>.
RFC0238 |           | Braden, R., "Comments on DTP and FTP proposals", RFC 238, DOI 10.17487/RFC0238, September 1971, <https://www.rfc-editor.org/info/rfc238>.
RFC0239 |           | Braden, R., "Host mnemonics proposed in RFC 226 (NIC 7625)", RFC 239, DOI 10.17487/RFC0239, September 1971, <https://www.rfc-editor.org/info/rfc239>.
RFC0240 |   RFC0252 | McKenzie, A., "Site Status", RFC 240, DOI 10.17487/RFC0240, September 1971, <https://www.rfc-editor.org/info/rfc240>.
RFC0241 |           | McKenzie, A., "Connecting computers to MLC ports", RFC 241, DOI 10.17487/RFC0241, September 1971, <https://www.rfc-editor.org/info/rfc241>.
RFC0242 |           | Haibt, L. and A. Mullery, "Data Descriptive Language for Shared Data", RFC 242, DOI 10.17487/RFC0242, July 1971, <https://www.rfc-editor.org/info/rfc242>.
RFC0243 |   RFC0290 | Mullery, A., "Network and data sharing bibliography", RFC 243, DOI 10.17487/RFC0243, October 1971, <https://www.rfc-editor.org/info/rfc243>.
RFC0245 |           | Falls, C., "Reservations for Network Group meeting", RFC 245, DOI 10.17487/RFC0245, October 1971, <https://www.rfc-editor.org/info/rfc245>.
RFC0246 |           | Vezza, A., "Network Graphics meeting", RFC 246, DOI 10.17487/RFC0246, October 1971, <https://www.rfc-editor.org/info/rfc246>.
RFC0247 |           | Karp, P., "Proffered set of standard host names", RFC 247, DOI 10.17487/RFC0247, October 1971, <https://www.rfc-editor.org/info/rfc247>.
RFC0249 |           | Borelli, R., "Coordination of equipment and supplies purchase", RFC 249, DOI 10.17487/RFC0249, October 1971, <https://www.rfc-editor.org/info/rfc249>.
RFC0250 |           | Brodie, H., "Some thoughts on file transfer", RFC 250, DOI 10.17487/RFC0250, October 1971, <https://www.rfc-editor.org/info/rfc250>.
RFC0251 |           | Stern, D., "Weather data", RFC 251, DOI 10.17487/RFC0251, October 1971, <https://www.rfc-editor.org/info/rfc251>.
RFC0252 |   RFC0255 | Westheimer, E., "Network host status", RFC 252, DOI 10.17487/RFC0252, October 1971, <https://www.rfc-editor.org/info/rfc252>.
RFC0253 |           | Moorer, J., "Second Network Graphics meeting details", RFC 253, DOI 10.17487/RFC0253, October 1971, <https://www.rfc-editor.org/info/rfc253>.
RFC0254 |           | Bhushan, A., "Scenarios for using ARPANET computers", RFC 254, DOI 10.17487/RFC0254, October 1971, <https://www.rfc-editor.org/info/rfc254>.
RFC0255 |   RFC0266 | Westheimer, E., "Status of network hosts", RFC 255, DOI 10.17487/RFC0255, October 1971, <https://www.rfc-editor.org/info/rfc255>.
RFC0256 |           | Cosell, B., "IMPSYS change notification", RFC 256, DOI 10.17487/RFC0256, November 1971, <https://www.rfc-editor.org/info/rfc256>.
RFC0263 |           | McKenzie, A., ""Very Distant" Host interface", RFC 263, DOI 10.17487/RFC0263, December 1971, <https://www.rfc-editor.org/info/rfc263>.
RFC0264 |   RFC0354 | Bhushan, A., Braden, B., Crowther, W., Harslem, E., Heafner, J., McKenize, A., Sundberg, B., Watson, D., and J. White, "The Data Transfer Protocol", RFC 264, DOI 10.17487/RFC0264, January 1972, <https://www.rfc-editor.org/info/rfc264>.
RFC0265 |   RFC0354 | Bhushan, A., Braden, B., Crowther, W., Harslem, E., Heafner, J., McKenzie, A., Melvin, J., Sundberg, B., Watson, D., and J. White, "The File Transfer Protocol", RFC 265, DOI 10.17487/RFC0265, November 1971, <https://www.rfc-editor.org/info/rfc265>.
RFC0266 |   RFC0267 | Westheimer, E., "Network host status", RFC 266, DOI 10.17487/RFC0266, November 1971, <https://www.rfc-editor.org/info/rfc266>.
RFC0267 |   RFC0287 | Westheimer, E., "Network Host Status", RFC 267, DOI 10.17487/RFC0267, November 1971, <https://www.rfc-editor.org/info/rfc267>.
RFC0268 |           | Postel, J., "Graphics facilities information", RFC 268, DOI 10.17487/RFC0268, November 1971, <https://www.rfc-editor.org/info/rfc268>.
RFC0269 |           | Brodie, H., "Some Experience with File Transfer", RFC 269, DOI 10.17487/RFC0269, December 1971, <https://www.rfc-editor.org/info/rfc269>.
RFC0270 |           | McKenzie, A., "Correction to BBN Report No. 1822 (NIC NO 7958)", RFC 270, DOI 10.17487/RFC0270, January 1972, <https://www.rfc-editor.org/info/rfc270>.
RFC0271 |           | Cosell, B., "IMP System change notifications", RFC 271, DOI 10.17487/RFC0271, January 1972, <https://www.rfc-editor.org/info/rfc271>.
RFC0273 |           | Watson, R., "More on standard host names", RFC 273, DOI 10.17487/RFC0273, October 1971, <https://www.rfc-editor.org/info/rfc273>.
RFC0274 |           | Forman, E., "Establishing a local guide for network usage", RFC 274, DOI 10.17487/RFC0274, November 1971, <https://www.rfc-editor.org/info/rfc274>.
RFC0276 |           | Watson, R., "NIC course", RFC 276, DOI 10.17487/RFC0276, November 1971, <https://www.rfc-editor.org/info/rfc276>.
RFC0278 |           | Bhushan, A., Braden, R., Harslem, E., Heafner, J., McKenzie, A., Melvin, J., Sundberg, R., Watson, R., and J. White, "Revision of the Mail Box Protocol", RFC 278, DOI 10.17487/RFC0278, November 1971, <https://www.rfc-editor.org/info/rfc278>.
RFC0280 |           | Watson, R., "A Draft of Host Names", RFC 280, DOI 10.17487/RFC0280, November 1971, <https://www.rfc-editor.org/info/rfc280>.
RFC0281 |           | McKenzie, A., "Suggested addition to File Transfer Protocol", RFC 281, DOI 10.17487/RFC0281, December 1971, <https://www.rfc-editor.org/info/rfc281>.
RFC0282 |           | Padlipsky, M., "Graphics meeting report", RFC 282, DOI 10.17487/RFC0282, December 1971, <https://www.rfc-editor.org/info/rfc282>.
RFC0283 |           | Braden, R., "NETRJT: Remote Job Service Protocol for TIPS", RFC 283, DOI 10.17487/RFC0283, December 1971, <https://www.rfc-editor.org/info/rfc283>.
RFC0285 |           | Huff, D., "Network graphics", RFC 285, DOI 10.17487/RFC0285, December 1971, <https://www.rfc-editor.org/info/rfc285>.
RFC0286 |           | Forman, E., "Network Library Information System", RFC 286, DOI 10.17487/RFC0286, December 1971, <https://www.rfc-editor.org/info/rfc286>.
RFC0287 |   RFC0288 | Westheimer, E., "Status of Network Hosts", RFC 287, DOI 10.17487/RFC0287, December 1971, <https://www.rfc-editor.org/info/rfc287>.
RFC0288 |   RFC0293 | Westheimer, E., "Network host status", RFC 288, DOI 10.17487/RFC0288, January 1972, <https://www.rfc-editor.org/info/rfc288>.
RFC0289 |   RFC0384 | Watson, R., "What we hope is an official list of host names", RFC 289, DOI 10.17487/RFC0289, December 1971, <https://www.rfc-editor.org/info/rfc289>.
RFC0290 |           | Mullery, A., "Computer networks and data sharing: A bibliography", RFC 290, DOI 10.17487/RFC0290, January 1972, <https://www.rfc-editor.org/info/rfc290>.
